State,District,Mandal,OfficeType,Pincode,Latitude,Longitude
AndhraPradesh,Ntr,Kuntamukkala,Bo,521230.0,16.716594,80.635084
Telangana,RajannaSircilla,Peddalingapur,Bo,505405.0,18.281054,78.876479
AndhraPradesh,Ntr,Gollamudi,Bo,521184.0,16.782739,80.351482
AndhraPradesh,Ntr,Raghavapuram,Bo,521184.0,16.763265,80.31958
AndhraPradesh,Ntr,Ramireddipalli,Bo,521184.0,16.763481,80.31723
AndhraPradesh,Ntr,Somavaram,Bo,521184.0,16.83463,80.342364
AndhraPradesh,Ntr,Pathapadu,Bo,521212.0,16.577455,80.866152
AndhraPradesh,Ntr,Vemavaram,Bo,521190.0,16.925425,80.267623
AndhraPradesh,Ntr,Subbayyagudem,Bo,521190.0,16.871239,80.262809
AndhraPradesh,Krishna,Guntupalli,Bo,521241.0,16.56895,80.54767
AndhraPradesh,Krishna,Rayanapadu,Bo,521241.0,16.571347,80.568626
AndhraPradesh,Krishna,Pamulalanka,Bo,521163.0,16.330967,80.773043
AndhraPradesh,Ntr,Dabbakupalli,Bo,521402.0,16.994697,80.230332
AndhraPradesh,Ntr,Polampalli,Bo,521402.0,16.811809,80.380439
AndhraPradesh,Ntr,Vemulanarva,Bo,521402.0,16.992104,80.281202
AndhraPradesh,Krishna,Aminapuram,Bo,521250.0,16.308284,80.846702
AndhraPradesh,Krishna,Krishnapuram,Bo,521250.0,16.255847,80.868377
AndhraPradesh,Ntr,Chilukuru,Bo,521456.0,16.623826,80.435136
AndhraPradesh,Ntr,Mulapadu,Bo,521456.0,16.608996,80.469458
AndhraPradesh,EastGodavari,GunnepalliAgraharam,Bo,533214.0,16.57062672,81.96124781
AndhraPradesh,Konaseema,Penumalla,Bo,533222.0,,
AndhraPradesh,Konaseema,GangalakurruAgraharam,Bo,533221.0,,
AndhraPradesh,Konaseema,Tummalapalli,Bo,533210.0,,
AndhraPradesh,Konaseema,Pallamkurru,Bo,533212.0,,
AndhraPradesh,Konaseema,I.Polavaram,Bo,533220.0,,
AndhraPradesh,Konaseema,Komaragiri,Bo,533220.0,,
AndhraPradesh,Konaseema,T.Kothapalli,Bo,533220.0,,
AndhraPradesh,Konaseema,Nallacheruvu,Bo,533241.0,,
AndhraPradesh,Konaseema,Sanapallilanka,Bo,533211.0,,
AndhraPradesh,Konaseema,Gadilanka,Bo,533216.0,,
